Name,IATA code,UN code,Time zone,Latitude,Longitude,Country
MOUNT SWAN,MSF,MSF,Australia/Darwin,-22.66667,134.9167,Australia
MANSTON-KENT INTL,MSE,MSE,Europe/London,51.36667,1.35,United Kingdom
MT PLEASANT,MSD,MSD,America/Denver,39.51667,-111.4667,United States
MESA,MSC,MSC,America/Phoenix,33.45,-111.7167,United States
MUSKRAT DAM,MSA,MSA,America/Winnipeg,53.83333,-92,Canada
MOREE,MRZ,MRZ,Australia/Sydney,-29.5,149.8333,Australia
MONTEREY CARMEL,MRY,MRY,America/Los_Angeles,36.58333,-121.85,United States
BANDAR MAHSHAHR,MRX,MRX,Asia/Tehran,30.56667,49.16667,"Iran, Islamic Republic of"
MARIBO,MRW,,Europe/Copenhagen,54.69944,11.44,Denmark
Marysville,,MRV,America/Los_Angeles,,,United States
MANITOWOC,MTW,MTW,America/Chicago,44.11667,-87.66667,United States
MOTA LAVA ISLAND,MTV,MTV,Pacific/Efate,-13.81667,167.7,Vanuatu
MONTEPUEZ,MTU,MTU,Africa/Maputo,-13.11667,39,Mozambique
MINATITLAN,MTT,MTT,America/Mexico_City,18,-94.53333,Mexico
MANZINI,MTS,MTS,Africa/Mbabane,-26.51667,31.3,Swaziland
MONTERIA,MTR,MTR,America/Bogota,8.76667,-75.86667,Colombia
MITCHELL,MTQ,MTQ,Australia/Brisbane,-26.58333,147.9667,Australia
MONTAUK,MTP,MTP,America/New_York,41.08333,-71.91667,United States
Montalvo,,MTO,America/Guayaquil,-1.48,-79.2,Ecuador
METLAKATLA,MTM,MTM,America/Anchorage,55.13333,-131.5833,United States
Millington,,MTL,America/Chicago,,,United States
MAKIN,MTK,MTK,Pacific/Tarawa,3.11667,172.8,Kiribati
MONTROSE,MTJ,MTJ,America/Denver,38.5,-107.8833,United States
MOSTEIROS,MTI,MTI,Atlantic/Cape_Verde,15,-24.43333,Cape Verde
MARATHON,MTH,MTH,America/New_York,24.71667,-81.05,United States
MATO GROSSO,MTG,MTG,America/Campo_Grande,-15.01667,-60.01667,Brazil
Mauterndorf,,MTF,Europe/Vienna,47.08,13.4,Austria
MONTE ALEGRE,MTE,MTE,America/Boa_Vista,-2.01667,-54.06667,Brazil
MOUNT SANDFORD STATION,MTD,MTD,Australia/Darwin,-16.98333,130.55,Australia
MT CLEMENS,MTC,MTC,America/Chicago,44.98333,-93.21667,United States
MONTELIBANO,MTB,MTB,America/Bogota,8.08333,-75.33333,Colombia
MATAMATA,MTA,MTA,Pacific/Auckland,-37.73333,175.75,New Zealand
NAMIBE,MSZ,MSZ,Africa/Luanda,-15.2,12.15,Angola
NEW ORLEANS,MSY,MSY,America/Chicago,29.98333,-90.26667,United States
MOSSENDJO,MSX,MSX,Africa/Brazzaville,-2.95,12.73333,Congo
MASSAWA,MSW,MSW,Africa/Asmera,15.6,39.43333,Eritrea
SINOP,NOP,,Europe/Istanbul,42.03333,35.15,Turkey
NAORO,NOO,NOO,Pacific/Port_Moresby,-9.08333,147.0333,Papua New Guinea
NONOUTI,NON,NON,TimeZoneNotFound,-0.66667,174.35,Kiribati
NOMAD RIVER,NOM,NOM,Pacific/Port_Moresby,-6.65,142.1167,Papua New Guinea
NOVA XAVANTINA,NOK,NOK,America/Campo_Grande,-14.41667,-52.91667,Brazil
